epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,1.02133309841156,0.5120521783828735,0.9792171120643616,0.5237725973129272
1,0.9816696047782898,0.5305101871490479,0.9934881925582886,0.5333333611488342
2,0.9462507367134094,0.5558254718780518,1.016420841217041,0.4972868263721466
3,0.9009459614753723,0.5788120031356812,1.086880087852478,0.48733851313591003
4,0.8715671896934509,0.5970478653907776,1.1220537424087524,0.45736435055732727
5,0.8484007716178894,0.6088707447052002,1.2539615631103516,0.4674418568611145
6,0.8223076462745667,0.619805097579956,1.1744804382324219,0.4692506492137909
7,0.8001680374145508,0.629385232925415,1.4394447803497314,0.45994833111763
8,0.7778381705284119,0.6411364078521729,1.541805624961853,0.47364342212677
9,0.7607898116111755,0.6523932218551636,1.5280601978302002,0.48346254229545593
10,0.7499150633811951,0.6564559936523438,1.750388741493225,0.47209301590919495
11,0.7360575199127197,0.6637861728668213,1.637502908706665,0.47260981798171997
12,0.7006043195724487,0.6852321624755859,1.8095109462738037,0.4698966443538666
13,0.6875295042991638,0.6944611668586731,1.8167991638183594,0.45348837971687317
14,0.6701058149337769,0.7042705416679382,1.7188235521316528,0.44638243317604065
15,0.6525588631629944,0.7122384905815125,1.7950235605239868,0.4394056797027588
16,0.6452920436859131,0.7164087295532227,1.6756718158721924,0.44819122552871704
17,0.6309431791305542,0.7239180207252502,1.7230578660964966,0.43798449635505676
18,0.624028205871582,0.7260174751281738,1.772871732711792,0.43410852551460266
19,0.6216980814933777,0.7275795340538025,1.9066104888916016,0.3970284163951874
20,0.6127486824989319,0.7329750657081604,1.7565871477127075,0.43914729356765747
21,0.8134986162185669,0.6360203623771667,1.0853618383407593,0.46162790060043335
22,0.7433100938796997,0.6646603345870972,1.3768454790115356,0.48992249369621277
23,0.6795151829719543,0.6956720948219299,1.5692282915115356,0.5
24,0.6384055614471436,0.7160934209823608,1.677004098892212,0.487209290266037
25,0.618474006652832,0.7265334129333496,1.6840126514434814,0.4549095630645752
26,0.6291133165359497,0.7218973636627197,1.2992146015167236,0.447674423456192
27,0.6280047297477722,0.7216466069221497,1.6563975811004639,0.43863049149513245
28,0.5975773930549622,0.7369518280029297,1.7142553329467773,0.4444444477558136
29,0.586475133895874,0.7423617243766785,1.6715494394302368,0.44999998807907104
30,0.575286328792572,0.7500573396682739,1.7455633878707886,0.4382428824901581
31,0.5654654502868652,0.7551590800285339,1.7339855432510376,0.43863049149513245
32,0.5579617619514465,0.7579607367515564,1.7656176090240479,0.4399224817752838
33,0.5654509663581848,0.7540484666824341,1.7390880584716797,0.4456072449684143
34,0.5454723238945007,0.7620019912719727,1.765894889831543,0.4303617477416992
35,0.5729818940162659,0.7487818598747253,1.666064977645874,0.42196381092071533
36,0.5351052284240723,0.7673545479774475,1.7969027757644653,0.408527135848999
37,0.5237038135528564,0.7723273038864136,1.7277060747146606,0.40180879831314087
38,0.7271963953971863,0.6916021704673767,1.4360257387161255,0.4133074879646301
39,0.8052694797515869,0.6295786499977112,1.3752832412719727,0.38126614689826965
40,0.7491753101348877,0.6594797968864441,1.4459000825881958,0.3586563169956207
41,0.7089917659759521,0.679836630821228,1.4939992427825928,0.3677002489566803
42,0.6713285446166992,0.6969332098960876,1.5558840036392212,0.3465116322040558
43,0.6270816922187805,0.7140584588050842,1.6383326053619385,0.368346244096756
44,0.5858646631240845,0.7375107407569885,1.8327586650848389,0.3577519357204437
45,0.5507146120071411,0.7581183910369873,1.7972263097763062,0.4205426275730133
46,0.5268664956092834,0.7722269892692566,1.7633914947509766,0.420284241437912
47,0.5138682126998901,0.7776153683662415,1.8301689624786377,0.44134366512298584
48,0.5069902539253235,0.7804385423660278,1.7873568534851074,0.41408267617225647
49,0.49941158294677734,0.7841072082519531,1.758323311805725,0.4262273907661438
50,0.49792686104774475,0.7856907248497009,1.9748915433883667,0.3476744294166565
51,0.49697887897491455,0.7867082357406616,1.7683467864990234,0.41085270047187805
52,0.49265924096107483,0.7880481481552124,1.8401007652282715,0.38126614689826965
53,0.4876994490623474,0.7907566428184509,1.790405511856079,0.37803617119789124
54,0.4777921140193939,0.7958799004554749,1.8798736333847046,0.3936692476272583
55,0.4728434085845947,0.7978073954582214,1.9821056127548218,0.3527131676673889
56,0.4692099988460541,0.799978494644165,1.8383986949920654,0.39883720874786377
57,0.46267908811569214,0.8034107089042664,1.8175938129425049,0.42131781578063965
58,0.4618391692638397,0.8035898804664612,1.8839830160140991,0.4164082705974579
59,0.504375696182251,0.7875823974609375,1.7446739673614502,0.4134366810321808
60,0.45420199632644653,0.8066852688789368,1.8956871032714844,0.38578811287879944
61,0.4526330530643463,0.8079320788383484,1.9986014366149902,0.4038759768009186
62,0.45124194025993347,0.8090713620185852,1.9420051574707031,0.3970284163951874
63,0.4461703598499298,0.8110776543617249,2.0138280391693115,0.3980620205402374
64,0.45398521423339844,0.8108913898468018,2.546680450439453,0.4214470386505127
65,0.552247166633606,0.7644023895263672,1.8600198030471802,0.4182170629501343
66,0.4672122597694397,0.800422728061676,1.8866901397705078,0.41317829489707947
67,0.4339710772037506,0.8180854320526123,2.1008784770965576,0.4198966324329376
68,0.4302203059196472,0.819747805595398,2.348945379257202,0.3731266260147095
69,0.42924797534942627,0.8195614814758301,2.1556332111358643,0.43320414423942566
70,0.48585647344589233,0.799763560295105,1.7537155151367188,0.3864341080188751
71,0.4980390965938568,0.789574384689331,2.0741167068481445,0.38514211773872375
72,0.43322908878326416,0.8188306093215942,2.2536606788635254,0.407105952501297
73,0.4242595136165619,0.8218973875045776,2.3444607257843018,0.4098191261291504
74,0.4165467619895935,0.8262611031532288,2.147402048110962,0.43178293108940125
75,0.7285302877426147,0.714237630367279,1.4896345138549805,0.35116279125213623
76,0.536932647228241,0.7692103981971741,1.8669886589050293,0.3970284163951874
77,0.4791643023490906,0.79045569896698,2.0390625,0.41834625601768494
78,0.445963591337204,0.809866726398468,2.140240430831909,0.4241602122783661
79,0.4423985183238983,0.8137646913528442,2.313328981399536,0.4134366810321808
80,0.5944810509681702,0.7532100677490234,1.83571195602417,0.4498707950115204
81,0.4531649947166443,0.8097019195556641,1.9040350914001465,0.46485787630081177
82,0.4259590804576874,0.8234737515449524,2.1665854454040527,0.45116278529167175
83,0.42046231031417847,0.8250716328620911,2.328972339630127,0.4405684769153595
84,0.4317081868648529,0.8239753246307373,2.9712016582489014,0.39018088579177856
85,0.49499353766441345,0.794969916343689,2.1016435623168945,0.42932817339897156
86,0.41445890069007874,0.830022931098938,2.323864459991455,0.4649870693683624
87,0.6553980112075806,0.7637360095977783,1.7435637712478638,0.3596899211406708
88,0.6815153956413269,0.6963958144187927,1.681084156036377,0.368346244096756
89,0.5468016266822815,0.7599169015884399,1.8766988515853882,0.40930232405662537
90,0.485935240983963,0.7875107526779175,2.1239922046661377,0.41175711154937744
91,0.4559161961078644,0.8045070171356201,2.389324426651001,0.42131781578063965
92,0.4366190731525421,0.8154485821723938,2.466799020767212,0.4038759768009186
93,0.4254699945449829,0.8226855993270874,2.435509443283081,0.4259690046310425
94,0.6426669955253601,0.7485239505767822,1.4769011735916138,0.30723515152931213
95,0.5642561912536621,0.7530094385147095,1.997660756111145,0.40064600110054016
96,0.45233672857284546,0.8040627837181091,2.3241896629333496,0.4282945692539215
97,0.42032358050346375,0.8207294344902039,2.4793241024017334,0.42493540048599243
98,0.4096251428127289,0.8279879689216614,2.4117684364318848,0.42364341020584106
99,0.403323233127594,0.8320650458335876,2.4692530632019043,0.42196381092071533
100,0.3977185785770416,0.8346374034881592,2.5209691524505615,0.4178294539451599
101,0.4057820439338684,0.8307108283042908,2.4072747230529785,0.4052971601486206
102,0.3911588191986084,0.8393809199333191,2.5426559448242188,0.4285529851913452
103,0.3881455361843109,0.8407853245735168,2.7078075408935547,0.4136950969696045
104,0.39106738567352295,0.8388721942901611,2.636533260345459,0.4310077428817749
105,0.3815213739871979,0.8442820310592651,2.601940870285034,0.43979328870773315
106,0.38073259592056274,0.845227837562561,2.755559206008911,0.4360465109348297
107,0.3946658968925476,0.8387288451194763,2.4029810428619385,0.3941860496997833
108,0.4001915752887726,0.8345227837562561,2.627004623413086,0.44224807620048523
109,0.5112534761428833,0.8220335245132446,1.624582052230835,0.49031007289886475
110,0.8291640281677246,0.6384565830230713,1.1869715452194214,0.4605943262577057
111,0.6712732315063477,0.7011178135871887,1.1866613626480103,0.42248061299324036
112,0.595357358455658,0.7434436678886414,1.2971253395080566,0.407105952501297
113,0.5409448742866516,0.7695327997207642,1.5601212978363037,0.44819122552871704
114,0.4979490041732788,0.7871237993240356,2.064908266067505,0.4488372206687927
115,0.4617624580860138,0.8014545440673828,2.318903923034668,0.4385012984275818
116,0.44516512751579285,0.8086127638816833,2.2962145805358887,0.44405683875083923
117,0.4249197244644165,0.820199191570282,2.4145703315734863,0.44095608592033386
118,0.40913301706314087,0.8295858502388,2.5676469802856445,0.4047803580760956
119,0.39901986718177795,0.8357051014900208,2.63348126411438,0.41085270047187805
120,0.3977120518684387,0.8372241258621216,2.46781325340271,0.4237726032733917
121,0.41068190336227417,0.8294497132301331,2.382174491882324,0.39677003026008606
122,0.3841407597064972,0.844948410987854,2.5206456184387207,0.4228682219982147
123,0.37683534622192383,0.8475136160850525,2.7692883014678955,0.4164082705974579
124,0.3794640302658081,0.8476784229278564,2.802931547164917,0.43113696575164795
125,0.4264035224914551,0.8295930027961731,2.3170483112335205,0.42751938104629517
126,0.3837960660457611,0.8455359935760498,2.5415210723876953,0.4441860318183899
127,0.37000301480293274,0.8532100915908813,2.69189715385437,0.4346253275871277
128,0.3638663589954376,0.855051577091217,2.7539494037628174,0.4428940713405609
129,0.35914963483810425,0.8569432497024536,2.768234968185425,0.44018086791038513
130,0.35582974553108215,0.85976642370224,2.832266092300415,0.44224807620048523
131,0.36602991819381714,0.8548151254653931,2.7620508670806885,0.4489664137363434
132,0.37424397468566895,0.8490111827850342,2.9456608295440674,0.4478036165237427
133,0.3546827435493469,0.8606405854225159,2.882711172103882,0.4468992352485657
134,0.38242611289024353,0.8481513261795044,2.97407865524292,0.4268733859062195
135,0.416231244802475,0.8350458741188049,2.304938316345215,0.42906975746154785
136,0.3554326295852661,0.8613499402999878,2.8531486988067627,0.43294572830200195
137,0.5965955853462219,0.7738033533096313,1.6213608980178833,0.3841085135936737
138,0.5677549242973328,0.755474328994751,1.753937005996704,0.34599483013153076
139,0.4768836796283722,0.7989323735237122,2.0031898021698,0.3760981857776642
140,0.4351649284362793,0.8187374472618103,2.174024820327759,0.38372093439102173
141,0.4106896221637726,0.8330109119415283,2.4164319038391113,0.40219637751579285
142,0.3915416896343231,0.8433004021644592,2.457956552505493,0.40788114070892334
143,0.37891748547554016,0.84981369972229,2.583838701248169,0.39237725734710693
144,0.3696984052658081,0.8547577857971191,2.7066445350646973,0.4052971601486206
145,0.36248818039894104,0.8579392433166504,2.9142048358917236,0.3970284163951874
146,0.3565296530723572,0.8594081401824951,2.7806074619293213,0.3970284163951874
147,0.3556341826915741,0.8596087694168091,2.9855539798736572,0.4193798303604126
148,0.34788450598716736,0.8630552887916565,3.079080581665039,0.41356590390205383
149,0.5878790020942688,0.7738463878631592,1.644684076309204,0.380232572555542
